loss_avg;epoch;iteration;global_iteration
0.1934918463230133;0;100;100
0.13592694699764252;0;200;200
0.11403567343950272;0;300;300
0.09921697527170181;0;400;400
0.08023514598608017;0;500;500
0.09196051210165024;0;600;600
0.05766152963042259;1;63;700
0.06995189934968948;1;163;800
0.039477888494729996;1;263;900
0.05168749392032623;1;363;1000
0.05371221527457237;1;463;1100
0.06389877945184708;1;563;1200
0.023791037499904633;2;26;1300
0.01918771117925644;2;126;1400
0.032720498740673065;2;226;1500
0.05207062512636185;2;326;1600
0.016592638567090034;2;426;1700
0.061425480991601944;2;526;1800
0.01507237832993269;2;626;1900
0.024343019351363182;3;89;2000
0.022978108376264572;3;189;2100
0.044596679508686066;3;289;2200
0.03563860431313515;3;389;2300
0.005494796670973301;3;489;2400
0.02004152536392212;3;589;2500
0.024452928453683853;4;52;2600
0.04499782621860504;4;152;2700
0.015241174958646297;4;252;2800
0.009456413798034191;4;352;2900
0.014759114012122154;4;452;3000
0.020138876512646675;4;552;3100
0.011687299236655235;5;15;3200
0.006066787056624889;5;115;3300
0.014883995056152344;5;215;3400
0.022921452298760414;5;315;3500
0.028843428939580917;5;415;3600
0.006312827114015818;5;515;3700
0.013714618980884552;5;615;3800
0.005164001602679491;6;78;3900
0.028471045196056366;6;178;4000
0.025074001401662827;6;278;4100
0.01522265374660492;6;378;4200
0.05552007257938385;6;478;4300
0.03297191113233566;6;578;4400
0.009633061476051807;7;41;4500
0.011725302785634995;7;141;4600
0.004905089735984802;7;241;4700
0.016490288078784943;7;341;4800
0.006525244098156691;7;441;4900
0.020975306630134583;7;541;5000
0.01897761970758438;8;4;5100
0.008504470810294151;8;104;5200
0.018665648996829987;8;204;5300
0.00872469786554575;8;304;5400
0.0029854443855583668;8;404;5500
0.01566459611058235;8;504;5600
0.0012741645332425833;8;604;5700
0.0045899939723312855;9;67;5800
0.0037006589118391275;9;167;5900
0.007969468832015991;9;267;6000
0.0037126655224710703;9;367;6100
0.006301799789071083;9;467;6200
0.007229093462228775;9;567;6300
0.008464531041681767;10;30;6400
0.00336788734421134;10;130;6500
0.007123285438865423;10;230;6600
0.020996369421482086;10;330;6700
0.00475357798859477;10;430;6800
0.010903404094278812;10;530;6900
0.06350407749414444;10;630;7000
0.004570028278976679;11;93;7100
0.004364645108580589;11;193;7200
0.006063309032469988;11;293;7300
0.01008840836584568;11;393;7400
0.010553212836384773;11;493;7500
0.0021600041072815657;11;593;7600
0.0010699774138629436;12;56;7700
0.008254495449364185;12;156;7800
0.027138229459524155;12;256;7900
0.005579320713877678;12;356;8000
0.0023614061065018177;12;456;8100
0.004542180802673101;12;556;8200
0.0072433799505233765;13;19;8300
0.003310280153527856;13;119;8400
0.0038009381387382746;13;219;8500
0.004406117834150791;13;319;8600
0.0028364749159663916;13;419;8700
0.0044498019851744175;13;519;8800
0.001825051847845316;13;619;8900
0.0024205432273447514;14;82;9000
0.005412868224084377;14;182;9100
0.0026387134566903114;14;282;9200
0.0032079957891255617;14;382;9300
0.0015757541405037045;14;482;9400
0.0016333789099007845;14;582;9500
0.004954599309712648;15;45;9600
0.0037207351997494698;15;145;9700
0.004946347791701555;15;245;9800
0.0018654440063983202;15;345;9900
0.0039481669664382935;15;445;10000
0.002870118012651801;15;545;10100
0.00168459746055305;16;8;10200
0.0032248948700726032;16;108;10300
0.005456998012959957;16;208;10400
0.005812093615531921;16;308;10500
0.011018455028533936;16;408;10600
0.005684986244887114;16;508;10700
0.0022408259101212025;16;608;10800
0.0019174048211425543;17;71;10900
0.001084622461348772;17;171;11000
0.0020215515978634357;17;271;11100
0.012975197285413742;17;371;11200
0.002574897836893797;17;471;11300
0.004407322965562344;17;571;11400
0.0024050846695899963;18;34;11500
0.0004089016292709857;18;134;11600
0.0026041690725833178;18;234;11700
0.0023038811050355434;18;334;11800
0.0021569645032286644;18;434;11900
0.0017863165121525526;18;534;12000
0.00938690360635519;18;634;12100
0.0012105578789487481;19;97;12200
0.0024747613351792097;19;197;12300
0.0022220283281058073;19;297;12400
0.00243025878444314;19;397;12500
0.004275523126125336;19;497;12600
0.0021069764625281096;19;597;12700
