loss_avg;epoch;iteration;global_iteration
0.1875399649143219;0;100;100
0.12383391708135605;0;200;200
0.11345408111810684;0;300;300
0.07370758056640625;0;400;400
0.0767006203532219;0;500;500
0.09542696923017502;0;600;600
0.06897572427988052;1;63;700
0.07182024419307709;1;163;800
0.036926306784152985;1;263;900
0.060600802302360535;1;363;1000
0.06144731491804123;1;463;1100
0.07622694224119186;1;563;1200
0.025555260479450226;2;26;1300
0.021481040865182877;2;126;1400
0.03582562133669853;2;226;1500
0.022989565506577492;2;326;1600
0.016213757917284966;2;426;1700
0.05690097063779831;2;526;1800
0.01634172722697258;2;626;1900
0.018284045159816742;3;89;2000
0.030924277380108833;3;189;2100
0.029370374977588654;3;289;2200
0.0416201651096344;3;389;2300
0.005211733281612396;3;489;2400
0.027767164632678032;3;589;2500
0.01844889298081398;4;52;2600
0.035663358867168427;4;152;2700
0.017201125621795654;4;252;2800
0.010250520892441273;4;352;2900
0.012874336913228035;4;452;3000
0.011296659708023071;4;552;3100
0.008948427625000477;5;15;3200
0.004576659761369228;5;115;3300
0.008089201524853706;5;215;3400
0.018129516392946243;5;315;3500
0.01764713227748871;5;415;3600
0.005220937542617321;5;515;3700
0.014964096248149872;5;615;3800
0.004550753626972437;6;78;3900
0.023467617109417915;6;178;4000
0.01595340296626091;6;278;4100
0.018326954916119576;6;378;4200
0.050400905311107635;6;478;4300
0.015952078625559807;6;578;4400
0.004122790414839983;7;41;4500
0.006871923804283142;7;141;4600
0.015237332321703434;7;241;4700
0.03587546944618225;7;341;4800
0.006320096552371979;7;441;4900
0.007255859673023224;7;541;5000
0.009195856750011444;8;4;5100
0.007961354218423367;8;104;5200
0.016688799485564232;8;204;5300
0.015336920507252216;8;304;5400
0.002379564568400383;8;404;5500
0.010290239006280899;8;504;5600
0.001526839449070394;8;604;5700
0.011554237455129623;9;67;5800
0.008790235966444016;9;167;5900
0.0206941906362772;9;267;6000
0.0029314968269318342;9;367;6100
0.034759048372507095;9;467;6200
0.009706789627671242;9;567;6300
0.004649536684155464;10;30;6400
0.0032389636617153883;10;130;6500
0.005379381589591503;10;230;6600
0.007147579919546843;10;330;6700
0.004840545821934938;10;430;6800
0.007079047150909901;10;530;6900
0.012813259847462177;10;630;7000
0.0021230641286820173;11;93;7100
0.0027201392222195864;11;193;7200
0.005588209722191095;11;293;7300
0.004906045738607645;11;393;7400
0.005371110513806343;11;493;7500
0.00148792564868927;11;593;7600
0.0009492706740275025;12;56;7700
0.010701189748942852;12;156;7800
0.02135959453880787;12;256;7900
0.002757880138233304;12;356;8000
0.00233661150559783;12;456;8100
0.004990772344172001;12;556;8200
0.010418888181447983;13;19;8300
0.002781893126666546;13;119;8400
0.004507309291511774;13;219;8500
0.004582990892231464;13;319;8600
0.0029084980487823486;13;419;8700
0.004882936831563711;13;519;8800
0.001452253432944417;13;619;8900
0.002880458254367113;14;82;9000
0.0019625057466328144;14;182;9100
0.001933498540893197;14;282;9200
0.002737386617809534;14;382;9300
0.0012006877223029733;14;482;9400
0.0011889984598383307;14;582;9500
0.0022010200191289186;15;45;9600
0.001773685566149652;15;145;9700
0.0022303296718746424;15;245;9800
0.0030794860795140266;15;345;9900
0.004150043707340956;15;445;10000
0.0016112359007820487;15;545;10100
0.0019239712273702025;16;8;10200
0.002278312109410763;16;108;10300
0.004608348943293095;16;208;10400
0.006049643270671368;16;308;10500
0.0027495776303112507;16;408;10600
0.01616518385708332;16;508;10700
0.002177654765546322;16;608;10800
0.0019448250532150269;17;71;10900
0.0013660285621881485;17;171;11000
0.001345951808616519;17;271;11100
0.001517630647867918;17;371;11200
0.0022178480867296457;17;471;11300
0.0051759034395217896;17;571;11400
0.002224880503490567;18;34;11500
0.0005332821747288108;18;134;11600
0.002855144441127777;18;234;11700
0.002051822142675519;18;334;11800
0.0013841510517522693;18;434;11900
0.0017522803973406553;18;534;12000
0.0025659725069999695;18;634;12100
0.0017888285219669342;19;97;12200
0.0010673926444724202;19;197;12300
0.002035871846601367;19;297;12400
0.0022326321341097355;19;397;12500
0.0031094278674572706;19;497;12600
0.001651547267101705;19;597;12700
