system,record_id,entity_coverage,dropped_entities,dropped_relations,prediction_found
raw,100593,1.0,0,0,True
raw,102033,1.0,0,0,True
raw,101149,1.0,0,0,True
raw,101313,1.0,0,0,True
raw,101585,1.0,0,0,True
raw,104924,1.0,0,0,True
raw,106079,1.0,0,0,True
raw,105931,1.0,0,0,True
raw,104757,1.0,0,0,True
raw,103586,1.0,0,0,True
raw,103548,1.0,0,0,True
raw,104692,1.0,0,0,True
raw,102024,1.0,0,0,True
raw,103929,1.0,0,0,True
raw,104265,1.0,0,0,True
raw,102906,1.0,0,0,True
raw,104548,1.0,0,0,True
raw,101168,1.0,0,0,True
raw,102993,1.0,0,0,True
raw,101893,1.0,0,0,True
raw,102772,1.0,0,0,True
raw,102259,1.0,0,0,True
raw,102158,1.0,0,0,True
raw,105204,1.0,0,0,True
raw,103248,1.0,0,0,True
raw,100864,1.0,0,0,True
raw,100865,1.0,0,0,True
raw,101636,1.0,0,0,True
raw,101849,1.0,0,0,True
raw,104993,1.0,0,0,True
raw,102708,1.0,0,0,True
raw,102630,1.0,0,0,True
raw,104153,1.0,0,0,True
raw,104844,1.0,0,0,True
raw,102095,1.0,0,0,True
raw,105838,1.0,0,0,True
raw,103997,1.0,0,0,True
raw,102815,1.0,0,0,True
raw,101183,1.0,0,0,True
raw,105259,1.0,0,0,True
raw,100903,1.0,0,0,True
raw,102021,1.0,0,0,True
raw,100082,1.0,0,0,True
raw,103944,1.0,0,0,True
raw,102766,1.0,0,0,True
raw,101308,1.0,0,0,True
raw,103559,1.0,0,0,True
raw,101187,1.0,0,0,True
raw,100919,1.0,0,0,True
raw,102201,1.0,0,0,True
raw,102979,1.0,0,0,True
raw,106164,1.0,0,0,True
raw,104639,1.0,0,0,True
raw,100036,1.0,0,0,True
raw,105436,1.0,0,0,True
raw,103889,1.0,0,0,True
raw,104645,1.0,0,0,True
raw,103365,1.0,0,0,True
raw,100025,1.0,0,0,True
raw,104961,1.0,0,0,True
raw,103452,1.0,0,0,True
raw,101451,1.0,0,0,True
raw,105198,1.0,0,0,True
raw,102717,1.0,0,0,True
raw,102655,1.0,0,0,True
raw,104749,1.0,0,0,True
raw,102055,1.0,0,0,True
raw,100914,1.0,0,0,True
raw,100681,1.0,0,0,True
raw,105291,1.0,0,0,True
raw,101103,1.0,0,0,True
raw,101055,1.0,0,0,True
raw,104393,1.0,0,0,True
raw,103819,1.0,0,0,True
raw,100995,1.0,0,0,True
raw,103656,1.0,0,0,True
raw,101233,1.0,0,0,True
raw,104558,1.0,0,0,True
raw,102561,1.0,0,0,True
raw,102412,1.0,0,0,True
raw,104868,1.0,0,0,True
raw,104526,1.0,0,0,True
raw,101623,1.0,0,0,True
raw,101422,1.0,0,0,True
raw,105585,1.0,0,0,True
raw,100771,1.0,0,0,True
raw,100525,1.0,0,0,True
raw,100453,1.0,0,0,True
raw,104028,1.0,0,0,True
raw,100822,1.0,0,0,True
raw,104035,1.0,0,0,True
raw,100559,1.0,0,0,True
raw,105567,1.0,0,0,True
raw,102787,1.0,0,0,True
raw,102284,1.0,0,0,True
raw,102190,1.0,0,0,True
raw,105787,1.0,0,0,True
raw,101139,1.0,0,0,True
raw,100068,1.0,0,0,True
raw,105284,1.0,0,0,True
raw,102001,1.0,0,0,True
raw,102265,1.0,0,0,True
raw,104569,1.0,0,0,True
raw,101000,1.0,0,0,True
raw,104846,1.0,0,0,True
raw,105839,1.0,0,0,True
raw,102000,1.0,0,0,True
raw,100250,1.0,0,0,True
raw,105854,1.0,0,0,True
raw,101891,1.0,0,0,True
raw,104433,1.0,0,0,True
raw,104128,1.0,0,0,True
raw,105282,1.0,0,0,True
raw,100555,1.0,0,0,True
raw,104432,1.0,0,0,True
raw,100519,1.0,0,0,True
raw,104582,1.0,0,0,True
raw,101002,1.0,0,0,True
raw,101060,1.0,0,0,True
raw,100089,1.0,0,0,True
raw,102749,1.0,0,0,True
raw,105887,1.0,0,0,True
raw,100879,1.0,0,0,True
raw,103098,1.0,0,0,True
raw,106135,1.0,0,0,True
raw,100659,1.0,0,0,True
raw,104116,1.0,0,0,True
raw,100316,1.0,0,0,True
raw,102386,1.0,0,0,True
raw,105684,1.0,0,0,True
raw,100113,1.0,0,0,True
raw,104780,1.0,0,0,True
raw,101632,1.0,0,0,True
raw,105071,1.0,0,0,True
raw,102077,1.0,0,0,True
raw,101253,1.0,0,0,True
raw,100009,1.0,0,0,True
raw,105271,1.0,0,0,True
raw,103927,1.0,0,0,True
raw,103235,1.0,0,0,True
raw,105454,1.0,0,0,True
raw,105113,1.0,0,0,True
raw,103510,1.0,0,0,True
raw,103487,1.0,0,0,True
raw,105217,1.0,0,0,True
raw,100522,1.0,0,0,True
raw,105993,1.0,0,0,True
raw,105470,1.0,0,0,True
raw,100187,1.0,0,0,True
raw,101938,1.0,0,0,True
raw,103960,1.0,0,0,True
raw,102486,1.0,0,0,True
raw,101803,1.0,0,0,True
raw,104860,1.0,0,0,True
raw,100165,1.0,0,0,True
raw,105600,1.0,0,0,True
raw,100667,1.0,0,0,True
raw,102740,1.0,0,0,True
raw,100238,1.0,0,0,True
raw,102871,1.0,0,0,True
raw,100767,1.0,0,0,True
raw,100032,1.0,0,0,True
raw,100797,1.0,0,0,True
raw,103634,1.0,0,0,True
raw,104784,1.0,0,0,True
raw,104643,1.0,0,0,True
raw,100269,1.0,0,0,True
raw,102222,1.0,0,0,True
raw,102775,1.0,0,0,True
raw,101032,1.0,0,0,True
raw,105965,1.0,0,0,True
raw,103620,1.0,0,0,True
raw,100296,1.0,0,0,True
raw,104342,1.0,0,0,True
raw,102356,1.0,0,0,True
raw,101759,1.0,0,0,True
raw,100358,1.0,0,0,True
raw,100159,1.0,0,0,True
raw,103156,1.0,0,0,True
raw,103580,1.0,0,0,True
raw,102592,1.0,0,0,True
raw,103354,1.0,0,0,True
raw,104440,1.0,0,0,True
raw,106126,1.0,0,0,True
raw,100634,1.0,0,0,True
raw,103516,1.0,0,0,True
