loss;epoch;iteration;global_iteration
0.4841732084751129;0;100;100
0.2661130428314209;0;200;200
0.13162890076637268;0;300;300
0.20267444849014282;0;400;400
0.16143575310707092;0;500;500
0.1525401771068573;0;600;600
0.05984194949269295;1;63;700
0.0904378667473793;1;163;800
0.08819089829921722;1;263;900
0.11132673174142838;1;363;1000
0.04945816099643707;1;463;1100
0.11996619403362274;1;563;1200
0.10108537971973419;2;26;1300
0.05961957573890686;2;126;1400
0.026295460760593414;2;226;1500
0.07957223057746887;2;326;1600
0.05403079092502594;2;426;1700
0.03500249609351158;2;526;1800
0.03795356675982475;2;626;1900
0.02827925607562065;3;89;2000
0.027189981192350388;3;189;2100
0.017746206372976303;3;289;2200
0.0862458199262619;3;389;2300
0.026484617963433266;3;489;2400
0.037837687879800797;3;589;2500
0.011326346546411514;4;52;2600
0.01690026931464672;4;152;2700
0.007607494480907917;4;252;2800
0.016332896426320076;4;352;2900
0.016902633011341095;4;452;3000
0.01653556525707245;4;552;3100
0.011110030114650726;5;15;3200
0.006633386015892029;5;115;3300
0.00916819367557764;5;215;3400
0.006614378187805414;5;315;3500
0.03859945014119148;5;415;3600
0.014984382316470146;5;515;3700
0.01494145393371582;5;615;3800
0.016270510852336884;6;78;3900
0.02439764328300953;6;178;4000
0.020134679973125458;6;278;4100
0.008249565958976746;6;378;4200
0.06583181023597717;6;478;4300
0.009266046807169914;6;578;4400
0.007324178237468004;7;41;4500
0.006993934512138367;7;141;4600
0.02154397964477539;7;241;4700
0.00555531308054924;7;341;4800
0.006509944796562195;7;441;4900
0.017724309116601944;7;541;5000
0.012430150993168354;8;4;5100
0.004115176387131214;8;104;5200
0.0054163383319973946;8;204;5300
0.00479071494191885;8;304;5400
0.006046055816113949;8;404;5500
0.004701133351773024;8;504;5600
0.006010343786329031;8;604;5700
0.005773377139121294;9;67;5800
0.002900931751355529;9;167;5900
0.0038033700548112392;9;267;6000
0.007771641947329044;9;367;6100
0.004093085881322622;9;467;6200
0.0019026875961571932;9;567;6300
0.00649217190220952;10;30;6400
0.0034138094633817673;10;130;6500
0.0026998091489076614;10;230;6600
0.008837548084557056;10;330;6700
0.010282297618687153;10;430;6800
0.005801571998745203;10;530;6900
0.012336527928709984;10;630;7000
0.02027231641113758;11;93;7100
0.004216632805764675;11;193;7200
0.006219009403139353;11;293;7300
0.010535964742302895;11;393;7400
0.008985496126115322;11;493;7500
0.003396335057914257;11;593;7600
0.006245950236916542;12;56;7700
0.0030643977224826813;12;156;7800
0.004299646709114313;12;256;7900
0.0061955321580171585;12;356;8000
0.002741036470979452;12;456;8100
0.0052596451714634895;12;556;8200
0.0027839799877256155;13;19;8300
0.004358642268925905;13;119;8400
0.003811344737187028;13;219;8500
0.007153375074267387;13;319;8600
0.0015408690087497234;13;419;8700
0.0029009059071540833;13;519;8800
0.005365150049328804;13;619;8900
0.002815416781231761;14;82;9000
0.0032415897585451603;14;182;9100
0.005064190831035376;14;282;9200
0.0035594506189227104;14;382;9300
0.003870564978569746;14;482;9400
0.0208238884806633;14;582;9500
0.005445110145956278;15;45;9600
0.006503051146864891;15;145;9700
0.0023522567935287952;15;245;9800
0.0028987720143049955;15;345;9900
0.0022904258221387863;15;445;10000
0.003075662534683943;15;545;10100
0.002307286486029625;16;8;10200
0.004386702086776495;16;108;10300
0.0030156776774674654;16;208;10400
0.0027119722217321396;16;308;10500
0.003061799332499504;16;408;10600
0.002796503249555826;16;508;10700
0.003946032375097275;16;608;10800
0.00461067259311676;17;71;10900
0.0033832809422165155;17;171;11000
0.005748172290623188;17;271;11100
0.001560341683216393;17;371;11200
0.0027586426585912704;17;471;11300
0.0019138490315526724;17;571;11400
0.002257694024592638;18;34;11500
0.0042838663794100285;18;134;11600
0.002631083596497774;18;234;11700
0.024005519226193428;18;334;11800
0.0007999795489013195;18;434;11900
0.005802858620882034;18;534;12000
0.0062516555190086365;18;634;12100
0.0012691549491137266;19;97;12200
0.0030912531074136496;19;197;12300
0.001731483032926917;19;297;12400
0.003303889650851488;19;397;12500
0.0013567742425948381;19;497;12600
0.005202217493206263;19;597;12700
